GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1600000US0656000,0656000,"Pasadena city, California",142052,49
1600000US0656700,0656700,"Perris city, California",76330,29
1600000US0657456,0657456,"Pittsburg city, California",70677,33
1600000US0657792,0657792,"Pleasanton city, California",82267,29
1600000US0658072,0658072,"Pomona city, California",152476,66
1600000US0659444,0659444,"Rancho Cordova city, California",72319,41
1600000US0659451,0659451,"Rancho Cucamonga city, California",176540,51
1600000US0659920,0659920,"Redding city, California",91797,46
1600000US0659962,0659962,"Redlands city, California",71288,26
1600000US0660018,0660018,"Redondo Beach city, California",67863,28
1600000US0660102,0660102,"Redwood City city, California",84965,61
1600000US0660466,0660466,"Rialto city, California",103300,66
1600000US0660620,0660620,"Richmond city, California",109814,35
1600000US0662000,0662000,"Riverside city, California",324727,60
1600000US0662938,0662938,"Roseville city, California",132683,54
1600000US0664000,0664000,"Sacramento city, California",495200,108
1600000US0664224,0664224,"Salinas city, California",157224,32
1600000US0665000,0665000,"San Bernardino city, California",216242,49
1600000US0665042,0665042,"San Buenaventura (Ventura) city, California",109591,31
1600000US0665084,0665084,"San Clemente city, California",65304,26
1600000US0666000,0666000,"San Diego city, California",1406622,73
1600000US0667000,0667000,"San Francisco city, California",870887,*****
1600000US0668000,0668000,"San Jose city, California",1025373,91
1600000US0668084,0668084,"San Leandro city, California",90460,30
1600000US0668196,0668196,"San Marcos city, California",95268,40
1600000US0668252,0668252,"San Mateo city, California",103959,35
1600000US0668378,0668378,"San Ramon city, California",75643,35
1600000US0669000,0669000,"Santa Ana city, California",334236,57
1600000US0669070,0669070,"Santa Barbara city, California",91940,50
1600000US0669084,0669084,"Santa Clara city, California",125938,37
1600000US0669088,0669088,"Santa Clarita city, California",181960,61
1600000US0669196,0669196,"Santa Maria city, California",106286,34
1600000US0670000,0670000,"Santa Monica city, California",92478,27
1600000US0670098,0670098,"Santa Rosa city, California",175143,51
1600000US0672016,0672016,"Simi Valley city, California",126327,44
1600000US0673080,0673080,"South Gate city, California",95537,21
1600000US0673262,0673262,"South San Francisco city, California",66989,38
