room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2623,2883,Private room,,Sorbonne,46,4.0,2.0,1.0,101.0,1,48.852169,2.347332,2015-01-13 03:05:25.298
4886,6792,Entire home/apt,,Folie-Méricourt,3,4.5,2.0,0.0,129.0,3,48.865283,2.37115,2015-01-12 22:49:21.637
4890,6792,Entire home/apt,,Arts-et-Metiers,6,4.5,4.0,1.0,201.0,3,48.86409,2.356515,2015-01-12 23:15:31.683
29108,125205,Entire home/apt,,Charonne,0,,4.0,1.0,123.0,1,48.856943,2.402788,2015-01-13 15:11:42.779
5317,7749,Entire home/apt,,Grenelle,1,5.0,4.0,1.0,294.0,4,48.851756,2.299024,2015-01-13 17:04:16.163
5396,7903,Entire home/apt,,Notre-Dame,51,5.0,2.0,,145.0,7,48.852067,2.358712,2015-01-12 22:36:56.379
7396,19604,Private room,,Saint-Georges,144,5.0,2.0,1.0,109.0,2,48.883341,2.333936,2015-01-13 20:29:22.117
7397,2626,Entire home/apt,,Saint-Merri,92,5.0,4.0,2.0,152.0,4,48.857576,2.352751,2015-01-13 20:37:12.960
7964,22155,Entire home/apt,,Faubourg-Montmartre,2,4.5,4.0,2.0,174.0,3,48.873905,2.343179,2015-01-12 23:27:57.708
8012,6792,Entire home/apt,,Saint-Avoye,5,4.5,4.0,1.0,317.0,3,48.862437,2.358183,2015-01-13 04:22:20.593
8291,23964,Entire home/apt,,Sainte-Marguerite,12,5.0,6.0,2.0,217.0,4,48.853315,2.392978,2015-01-13 06:37:00.216
8522,25435,Entire home/apt,,Père-Lachaise,1,5.0,3.0,1.0,130.0,3,48.865279,2.393263,2015-01-13 04:10:53.011
9342,30055,Entire home/apt,,Grenelle,4,4.5,9.0,3.0,478.0,3,48.851561,2.284899,2015-01-13 09:23:39.121
34285,147746,Entire home/apt,,Croulebarbe,6,5.0,2.0,1.0,65.0,2,48.835481,2.34956,2015-01-13 21:27:54.178
10010,33995,Entire home/apt,,Saint-Ambroise,7,5.0,5.0,2.0,166.0,5,48.862775,2.37468,2015-01-12 23:16:10.780
10252,35203,Entire home/apt,,Saint-Gervais,10,5.0,2.0,1.0,137.0,5,48.857299,2.356299,2015-01-12 21:42:49.535
10267,33995,Entire home/apt,,Folie-Méricourt,5,4.5,3.0,1.0,116.0,5,48.865416,2.366471,2015-01-12 23:21:56.726
10270,33995,Entire home/apt,,Folie-Méricourt,1,3.0,3.0,1.0,123.0,5,48.86743,2.37524,2015-01-12 23:41:14.973
10459,35203,Private room,,Saint-Avoye,1,4.0,1.0,1.0,159.0,2,48.860963,2.354738,2015-01-13 19:30:08.531
10586,37107,Entire home/apt,,Clignancourt,38,5.0,4.0,,116.0,14,48.889019,2.346556,2015-01-13 05:44:57.976
10710,38170,Entire home/apt,,Europe,27,4.5,4.0,,142.0,3,48.879001,2.316083,2015-01-13 19:00:06.722
10917,39402,Entire home/apt,,Ternes,15,4.0,4.0,1.0,232.0,3,48.878212,2.296695,2015-01-13 13:34:09.600
10963,39761,Entire home/apt,,Enfants-Rouges,19,4.5,3.0,1.0,138.0,3,48.862041,2.363818,2015-01-13 18:41:31.872
11170,40963,Entire home/apt,,Saint-Victor,170,4.5,2.0,,101.0,2,48.846164,2.350571,2015-01-13 13:13:57.188
11214,41330,Entire home/apt,,Grenelle,19,4.5,2.0,,110.0,2,48.846533,2.291745,2015-01-13 18:07:19.938
11332,42022,Entire home/apt,,Rochechouart,1,4.5,4.0,1.0,130.0,5,48.88151,2.339988,2015-01-13 03:34:25.158
11472,42565,Entire home/apt,,Necker,3,4.5,2.0,,113.0,3,48.844997,2.30882,2015-01-13 18:21:25.265
11610,43517,Private room,,Villette,0,,2.0,1.0,109.0,2,48.882286,2.373127,2015-01-13 05:45:05.024
11798,44444,Entire home/apt,,Gare,19,5.0,3.0,1.0,166.0,2,48.824046,2.368279,2015-01-12 22:49:55.730
11848,44626,Entire home/apt,,Folie-Méricourt,112,4.5,3.0,,136.0,2,48.869418,2.379986,2015-01-13 03:59:41.347
12111,35203,Entire home/apt,,Saint-Avoye,11,4.5,6.0,,543.0,2,48.862847,2.354663,2015-01-13 04:39:16.275
12112,35203,Private room,,Saint-Avoye,9,4.5,2.0,1.0,159.0,2,48.862845,2.354894,2015-01-13 04:45:50.854
12268,47196,Private room,,Sainte-Marguerite,1,,2.0,1.0,87.0,6,48.850901,2.386952,2015-01-13 21:19:35.014
12887,49798,Private room,,Saint-Ambroise,3,,2.0,1.0,71.0,2,48.861785,2.379925,2015-01-13 05:28:07.858
13203,51559,Entire home/apt,,Notre-Dame,2,5.0,8.0,4.0,1087.0,3,48.852525,2.358056,2015-01-13 11:36:34.834
13340,52053,Entire home/apt,,Arts-et-Metiers,0,,2.0,2.0,489.0,1,48.864642,2.354619,2015-01-12 23:28:28.697
14011,55023,Entire home/apt,,Saint-Georges,10,4.5,3.0,2.0,201.0,3,48.880202,2.339085,2015-01-13 15:58:30.103
14332,55772,Entire home/apt,,Hôpital-Saint-Louis,147,5.0,2.0,1.0,87.0,4,48.872661,2.366844,2015-01-13 22:58:13.766
14399,6792,Entire home/apt,,Roquette,1,5.0,4.0,0.0,187.0,3,48.855755,2.375324,2015-01-13 03:06:44.951
14540,57150,Entire home/apt,,Mail,3,5.0,3.0,1.0,116.0,21,48.869995,2.345584,2015-01-13 17:55:03.105
14757,57954,Entire home/apt,,Clignancourt,53,4.5,3.0,,116.0,3,48.890522,2.344533,2015-01-13 13:34:33.915
14845,58357,Entire home/apt,,Notre-Dame,154,5.0,4.0,,145.0,3,48.850925,2.355018,2015-01-13 23:04:15.188
14897,58619,Entire home/apt,,Salpêtrière,38,4.5,4.0,1.0,188.0,3,48.838485,2.357632,2015-01-13 01:38:08.103
14903,58645,Entire home/apt,,Amérique,8,5.0,4.0,1.0,116.0,7,48.88275,2.386259,2015-01-13 02:16:17.448
14941,58819,Entire home/apt,,Grandes-Carrières,3,5.0,3.0,1.0,72.0,5,48.883652,2.33477,2015-01-13 06:02:28.054
15457,60531,Entire home/apt,,Archives,56,4.5,2.0,1.0,113.0,4,48.861375,2.361867,2015-01-13 06:25:13.311
15593,61019,Entire home/apt,,Saint-Ambroise,66,5.0,4.0,1.0,142.0,5,48.863416,2.378401,2015-01-13 21:02:59.657
15824,61931,Entire home/apt,,Halles,26,4.5,2.0,,57.0,1,48.865017,2.343816,2015-01-13 18:21:38.019
16451,64043,Entire home/apt,,Combat,10,5.0,6.0,3.0,203.0,3,48.878866,2.376415,2015-01-13 03:29:21.351
16455,64054,Entire home/apt,,Salpêtrière,2,5.0,5.0,1.0,80.0,3,48.836162,2.363233,2015-01-13 03:54:32.528
16457,64057,Entire home/apt,,Saint-Gervais,189,4.5,2.0,1.0,109.0,2,48.855026,2.360604,2015-01-13 04:05:36.030
16469,64075,Entire home/apt,,Hôpital-Saint-Louis,102,4.5,2.0,,100.0,2,48.872334,2.36769,2015-01-13 05:16:35.884
19306,73530,Entire home/apt,,Salpêtrière,80,5.0,4.0,1.0,142.0,2,48.837472,2.354661,2015-01-13 07:21:11.580
16912,65585,Entire home/apt,,Clignancourt,41,4.5,3.0,1.0,71.0,6,48.890487,2.341312,2015-01-12 22:14:42.816
17014,65962,Entire home/apt,,Monnaie,6,4.5,2.0,,167.0,4,48.85454,2.337442,2015-01-13 08:33:45.386
17066,66151,Private room,,Belleville,18,5.0,1.0,1.0,65.0,3,48.872662,2.38193,2015-01-13 14:08:14.930
17283,67010,Entire home/apt,,Hôpital-Saint-Louis,13,4.5,4.0,2.0,159.0,2,48.870331,2.371522,2015-01-13 09:57:04.235
17287,64055,Entire home/apt,,Pont-de-Flandre,5,4.0,5.0,1.0,114.0,3,48.895662,2.383069,2015-01-13 10:22:27.062
17303,67118,Entire home/apt,,Porte-Saint-Martin,208,4.5,5.0,0.0,100.0,1,48.871853,2.358475,2015-01-13 12:02:55.899
17347,67353,Entire home/apt,,Porte-Saint-Martin,16,4.5,4.0,1.0,159.0,4,48.869643,2.356771,2015-01-13 16:52:08.823
17372,55023,Private room,,Rochechouart,40,4.5,1.0,1.0,78.0,2,48.878848,2.340674,2015-01-13 19:37:26.363
17592,68136,Entire home/apt,,Porte-Saint-Martin,64,5.0,4.0,1.0,156.0,3,48.870654,2.367607,2015-01-13 15:38:46.775
17719,58653,Private room,,Madeleine,26,5.0,2.0,1.0,204.0,3,48.872664,2.313348,2015-01-13 02:16:34.164
17918,20633,Entire home/apt,,Saint-Georges,2,4.0,5.0,2.0,159.0,2,48.882817,2.332724,2015-01-13 23:09:48.311
17919,20633,Private room,,Saint-Georges,34,4.5,2.0,1.0,87.0,1,48.883266,2.332924,2015-01-13 23:15:17.178
17994,69389,Entire home/apt,,Halles,95,4.5,2.0,1.0,403.0,3,48.86093,2.342542,2015-01-13 04:11:35.294
18965,72582,Entire home/apt,,Sorbonne,84,4.5,4.0,1.0,219.0,1,48.851526,2.345969,2015-01-12 22:44:21.181
18993,72633,Entire home/apt,,Clignancourt,14,4.5,2.0,1.0,77.0,2,48.890007,2.34584,2015-01-13 01:38:31.652
19029,72713,Entire home/apt,,Saint-Georges,36,4.5,2.0,0.0,109.0,3,48.883084,2.332827,2015-01-13 05:16:56.739
19150,71496,Entire home/apt,,Goutte-dOr,2,4.5,3.0,1.0,145.0,3,48.885646,2.359059,2015-01-13 18:08:30.415
19260,73423,Entire home/apt,,St-Germain-lAuxerrois,76,4.5,4.0,1.0,195.0,2,48.857637,2.345552,2015-01-13 02:48:23.402
19666,74520,Entire home/apt,,Val-de-Grace,0,,1.0,1.0,87.0,5,48.843138,2.341815,2015-01-13 18:36:23.260
20176,76355,Entire home/apt,,Invalides,158,4.5,4.0,1.0,196.0,3,48.858502,2.314235,2015-01-13 18:22:15.844
20823,73530,Entire home/apt,,Jardin-des-Plantes,74,5.0,6.0,1.0,159.0,3,48.839006,2.354611,2015-01-13 05:28:40.212
21004,79843,Entire home/apt,,Bel-Air,56,5.0,5.0,2.0,268.0,2,48.840001,2.400672,2015-01-12 21:44:09.349
21167,80630,Private room,,Grandes-Carrières,24,4.5,2.0,1.0,87.0,2,48.893799,2.335836,2015-01-13 14:38:49.648
