room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5161953,16537682,Entire home/apt,,Charonne,0,,2,1.0,87.0,1.0,48.853976,2.402677,2015-03-02 06:54:46.462
2623,2883,Private room,,Sorbonne,46,4.0,2,1.0,87.0,1.0,48.852169,2.347332,2015-03-01 12:39:06.847
4886,6792,Entire home/apt,,Folie-Méricourt,4,4.5,2,0.0,128.0,3.0,48.865283,2.37115,2015-03-01 07:47:50.224
4890,6792,Entire home/apt,,Arts-et-Metiers,7,4.5,4,1.0,200.0,3.0,48.86409,2.356515,2015-03-01 08:15:52.893
5317,7749,Entire home/apt,,Grenelle,1,5.0,4,1.0,283.0,4.0,48.851756,2.299024,2015-03-02 03:43:06.039
5396,7903,Entire home/apt,,Notre-Dame,53,5.0,2,,144.0,7.0,48.852067,2.358712,2015-03-01 07:34:52.362
7396,19604,Private room,,Saint-Georges,146,5.0,2,1.0,108.0,2.0,48.883341,2.333936,2015-03-02 07:10:11.373
7397,2626,Entire home/apt,,Saint-Merri,94,5.0,4,2.0,159.0,3.0,48.857576,2.352751,2015-03-02 07:18:40.328
7964,22155,Entire home/apt,,Faubourg-Montmartre,2,4.5,4,2.0,173.0,3.0,48.873905,2.343179,2015-03-01 08:29:22.333
8012,6792,Entire home/apt,,Saint-Avoye,5,4.5,4,1.0,316.0,3.0,48.862437,2.358183,2015-03-01 14:10:44.887
8291,23964,Entire home/apt,,Sainte-Marguerite,14,5.0,6,2.0,216.0,,48.853315,2.392978,2015-03-01 16:48:37.015
8522,25435,Entire home/apt,,Père-Lachaise,1,5.0,3,1.0,130.0,3.0,48.865279,2.393263,2015-03-01 13:57:22.427
34285,147746,Entire home/apt,,Croulebarbe,6,5.0,2,1.0,65.0,2.0,48.835481,2.34956,2015-03-02 08:13:44.930
9342,30055,Entire home/apt,,Grenelle,4,4.5,9,3.0,476.0,3.0,48.851561,2.284899,2015-03-01 19:52:32.008
10010,33995,Entire home/apt,,Saint-Ambroise,8,5.0,5,2.0,166.0,,48.862775,2.37468,2015-03-01 08:16:31.689
10267,33995,Entire home/apt,,Folie-Méricourt,6,4.5,3,1.0,115.0,,48.865416,2.366471,2015-03-01 08:22:51.370
10270,33995,Entire home/apt,,Folie-Méricourt,1,3.0,3,1.0,123.0,,48.86743,2.37524,2015-03-01 08:44:16.504
10459,35203,Private room,,Saint-Avoye,1,4.0,1,1.0,123.0,2.0,48.860963,2.354738,2015-03-02 06:09:50.247
10586,37107,Entire home/apt,,Clignancourt,38,5.0,4,,115.0,14.0,48.889019,2.346556,2015-03-01 15:47:46.388
10710,38170,Entire home/apt,,Europe,27,4.5,4,,141.0,3.0,48.879001,2.316083,2015-03-02 05:39:19.412
10917,39402,Entire home/apt,,Ternes,16,4.0,4,1.0,231.0,3.0,48.878212,2.296695,2015-03-02 00:14:35.620
10963,39761,Entire home/apt,,Enfants-Rouges,22,4.5,3,1.0,137.0,3.0,48.862041,2.363818,2015-03-02 05:19:12.799
11170,40963,Entire home/apt,,Saint-Victor,177,4.5,2,,101.0,2.0,48.846164,2.350571,2015-03-01 23:54:43.073
11214,41330,Entire home/apt,,Grenelle,19,4.5,2,,110.0,2.0,48.846533,2.291745,2015-03-02 04:45:07.659
11332,42022,Entire home/apt,,Rochechouart,1,4.5,4,1.0,130.0,5.0,48.88151,2.339988,2015-03-01 13:14:05.169
11472,42565,Entire home/apt,,Necker,3,4.5,2,,119.0,3.0,48.844997,2.30882,2015-03-02 04:59:05.233
11487,42666,Entire home/apt,,Saint-Ambroise,2,4.5,2,,101.0,7.0,48.863499,2.369605,2015-03-02 06:38:06.503
11610,43517,Private room,,Villette,0,,2,1.0,108.0,2.0,48.882286,2.373127,2015-03-01 15:47:59.655
11798,44444,Entire home/apt,,Gare,23,5.0,3,1.0,166.0,2.0,48.824046,2.368279,2015-03-01 07:48:36.017
11848,44626,Entire home/apt,,Folie-Méricourt,116,4.5,3,,134.0,2.0,48.865775,2.377046,2015-03-01 13:43:04.178
12111,35203,Entire home/apt,,Saint-Avoye,11,4.5,6,,541.0,2.0,48.862847,2.354663,2015-03-01 14:31:51.531
12112,35203,Private room,,Saint-Avoye,9,4.5,2,1.0,159.0,2.0,48.862845,2.354894,2015-03-01 14:39:15.161
12268,47196,Private room,,Sainte-Marguerite,1,,2,1.0,87.0,6.0,48.850901,2.386952,2015-03-02 08:04:48.300
12970,50397,Entire home/apt,,Arts-et-Metiers,95,4.5,2,,87.0,20.0,48.863692,2.358541,2015-03-02 00:47:11.660
12993,50542,Entire home/apt,,Sainte-Marguerite,2,4.5,3,1.0,108.0,3.0,48.854841,2.391292,2015-03-02 03:16:13.877
13340,52053,Entire home/apt,,Arts-et-Metiers,0,,2,2.0,515.0,1.0,48.864642,2.354619,2015-03-01 08:29:54.803
14011,55023,Entire home/apt,,Saint-Georges,10,4.5,3,2.0,143.0,3.0,48.880202,2.339085,2015-03-02 02:36:02.428
