room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4886,6792,Entire home/apt,,Folie-Méricourt,2,5.0,2,0.0,129.0,3,48.865283,2.37115,2014-09-22 00:50:55.579
4890,6792,Entire home/apt,,Arts-et-Metiers,5,4.5,4,1.0,201.0,3,48.86409,2.356515,2014-09-22 01:16:23.856
5317,7749,Entire home/apt,,Grenelle,1,5.0,4,1.0,271.0,4,48.851756,2.299024,2014-09-22 21:06:55.572
5396,7903,Entire home/apt,,Notre-Dame,48,4.5,2,1.0,145.0,7,48.852067,2.358712,2014-09-22 00:38:44.727
7396,19604,Private room,,Saint-Georges,134,5.0,2,1.0,109.0,2,48.883341,2.333936,2014-09-23 00:30:47.398
7397,2626,Entire home/apt,,Saint-Merri,90,5.0,4,2.0,162.0,3,48.857576,2.352751,2014-09-23 00:36:49.335
7964,22155,Entire home/apt,,Faubourg-Montmartre,2,4.5,4,2.0,145.0,3,48.873905,2.343179,2014-09-22 01:29:49.558
8012,6792,Entire home/apt,,Saint-Avoye,5,4.5,4,1.0,317.0,3,48.862437,2.358183,2014-09-22 06:42:58.371
8291,23964,Entire home/apt,,Sainte-Marguerite,11,5.0,6,2.0,217.0,2,48.853315,2.392978,2014-09-22 09:15:06.057
8522,25435,Entire home/apt,,Père-Lachaise,1,5.0,3,1.0,130.0,3,48.865279,2.393263,2014-09-22 06:29:34.798
9342,30055,Entire home/apt,,Grenelle,4,4.5,9,3.0,478.0,3,48.851561,2.284899,2014-09-22 12:34:17.855
10010,33995,Entire home/apt,,Saint-Ambroise,7,5.0,5,2.0,167.0,5,48.862775,2.37468,2014-09-22 01:17:19.567
34285,147746,Entire home/apt,,Croulebarbe,6,5.0,2,1.0,65.0,2,48.835481,2.34956,2014-09-23 01:20:35.577
10267,33995,Entire home/apt,,Folie-Méricourt,5,5.0,3,1.0,116.0,5,48.865416,2.366471,2014-09-22 01:22:57.963
10270,33995,Entire home/apt,,Folie-Méricourt,1,3.0,4,1.0,123.0,5,48.86743,2.37524,2014-09-22 01:42:23.775
10459,35203,Private room,,Saint-Avoye,1,4.0,1,1.0,159.0,2,48.860963,2.354738,2014-09-22 23:37:16.081
10517,36640,Private room,,Clignancourt,0,,2,1.0,210.0,2,48.890551,2.344723,2014-09-22 00:45:42.764
10520,36640,Private room,,Clignancourt,0,,2,1.0,210.0,2,48.892406,2.343657,2014-09-22 01:03:01.581
10710,38170,Entire home/apt,,Europe,26,4.5,4,2.0,142.0,3,48.879001,2.316083,2014-09-22 23:05:10.579
10917,39402,Entire home/apt,,Ternes,15,4.0,4,1.0,261.0,3,48.878212,2.296695,2014-09-22 17:45:15.710
10963,39761,Entire home/apt,,Enfants-Rouges,17,4.5,3,1.0,138.0,3,48.862041,2.363818,2014-09-22 22:44:34.998
11170,40963,Entire home/apt,,Saint-Victor,157,4.5,2,1.0,101.0,2,48.846164,2.350571,2014-09-22 17:21:17.588
11214,41330,Entire home/apt,,Grenelle,18,4.5,2,1.0,110.0,2,48.846533,2.291745,2014-09-22 22:12:24.844
11332,42022,Entire home/apt,,Rochechouart,1,4.5,4,1.0,141.0,5,48.88151,2.339988,2014-09-22 05:50:22.297
11472,42565,Entire home/apt,,Necker,3,4.5,2,1.0,104.0,3,48.844997,2.30882,2014-09-22 22:24:43.642
11610,43517,Private room,,Villette,0,,2,1.0,109.0,2,48.882286,2.373127,2014-09-22 08:14:44.462
11631,42367,Entire home/apt,,Arsenal,0,,4,1.0,246.0,4,48.853572,2.364403,2014-09-22 10:42:34.030
11798,44444,Entire home/apt,,Gare,16,4.5,3,1.0,167.0,2,48.824046,2.368279,2014-09-22 00:51:54.469
11848,44626,Entire home/apt,,Folie-Méricourt,99,4.5,3,2.0,130.0,2,48.869418,2.379986,2014-09-22 06:16:56.437
11917,45208,Entire home/apt,,Saint-Merri,201,5.0,4,1.0,155.0,3,48.860933,2.352804,2014-09-22 14:29:45.384
12111,35203,Entire home/apt,,Saint-Avoye,11,4.5,6,1.0,543.0,2,48.862847,2.354663,2014-09-22 07:02:01.454
12112,35203,Private room,,Saint-Avoye,9,4.5,2,1.0,159.0,2,48.862845,2.354894,2014-09-22 07:08:27.029
12268,47196,Private room,,Sainte-Marguerite,1,,2,1.0,87.0,6,48.850901,2.386952,2014-09-23 01:13:31.498
12887,49798,Private room,,Saint-Ambroise,3,,2,1.0,71.0,2,48.861785,2.379925,2014-09-22 07:56:19.545
12993,50542,Entire home/apt,,Sainte-Marguerite,2,4.5,3,1.0,109.0,3,48.854841,2.391292,2014-09-22 20:36:35.148
13111,50985,Entire home/apt,,Charonne,0,,2,1.0,126.0,2,48.85114,2.406746,2014-09-22 04:28:00.539
13203,51559,Entire home/apt,,Notre-Dame,1,5.0,8,4.0,1086.0,3,48.852525,2.358056,2014-09-22 15:22:47.974
14011,55023,Entire home/apt,,Saint-Georges,10,4.5,3,2.0,143.0,3,48.880202,2.339085,2014-09-22 20:02:00.593
14332,55772,Entire home/apt,,Hôpital-Saint-Louis,137,5.0,2,1.0,138.0,4,48.872661,2.366844,2014-09-23 02:41:15.870
14399,6792,Entire home/apt,,Roquette,0,,4,0.0,187.0,3,48.855755,2.375324,2014-09-22 05:21:05.866
14757,57954,Entire home/apt,,Clignancourt,50,4.5,2,1.0,123.0,3,48.890396,2.344807,2014-09-22 17:45:46.460
14845,58357,Entire home/apt,,Notre-Dame,147,5.0,4,1.0,145.0,3,48.850742,2.355404,2014-09-23 02:46:13.277
14897,58619,Entire home/apt,,Salpêtrière,35,4.5,4,1.0,188.0,3,48.838485,2.357632,2014-09-22 03:47:54.972
14903,58645,Entire home/apt,,Amérique,8,4.5,4,1.0,116.0,7,48.88275,2.386259,2014-09-22 04:28:06.673
14941,58819,Entire home/apt,,Grandes-Carrières,3,5.0,3,1.0,72.0,5,48.883652,2.33477,2014-09-22 08:33:18.734
212011,1038969,Entire home/apt,,Picpus,9,4.5,4,1.0,58.0,2,48.840223,2.396689,2014-09-22 03:09:04.658
15457,60531,Entire home/apt,,Saint-Victor,48,4.5,2,1.0,113.0,4,48.851041,2.352701,2014-09-22 09:00:09.146
15593,61019,Entire home/apt,,Saint-Ambroise,61,5.0,4,1.0,126.0,6,48.864122,2.377907,2014-09-23 00:57:52.887
15824,61931,Entire home/apt,,Halles,23,4.5,2,1.0,56.0,1,48.865017,2.343816,2014-09-22 22:24:55.159
16119,62927,Entire home/apt,,Faubourg-Montmartre,0,,2,1.0,239.0,7,48.874437,2.345386,2014-09-23 02:14:52.003
19306,73530,Entire home/apt,,Salpêtrière,75,5.0,4,1.0,142.0,2,48.837472,2.354661,2014-09-22 10:10:30.586
16451,64043,Entire home/apt,,Combat,9,5.0,6,3.0,203.0,3,48.878866,2.376415,2014-09-22 05:45:15.360
16455,64054,Entire home/apt,,Salpêtrière,2,5.0,2,1.0,120.0,2,48.836162,2.363233,2014-09-22 06:11:14.329
16456,64054,Entire home/apt,,Salpêtrière,7,4.0,4,1.0,116.0,2,48.835917,2.363311,2014-09-22 06:17:30.052
16457,64057,Entire home/apt,,Saint-Gervais,171,4.5,2,1.0,123.0,3,48.854995,2.360566,2014-09-22 06:23:45.482
16469,64075,Entire home/apt,,Porte-Saint-Martin,99,4.5,2,1.0,101.0,3,48.87209,2.366953,2014-09-22 07:43:07.664
16912,65585,Entire home/apt,,Clignancourt,41,4.5,3,1.0,71.0,3,48.890487,2.341312,2014-09-22 00:15:52.661
17066,66151,Private room,,Belleville,16,5.0,1,1.0,65.0,3,48.872662,2.38193,2014-09-22 18:18:48.293
17283,67010,Entire home/apt,,Hôpital-Saint-Louis,8,4.5,4,2.0,174.0,2,48.870331,2.371522,2014-09-22 13:10:42.049
17287,64055,Entire home/apt,,Pont-de-Flandre,2,4.0,5,1.0,87.0,3,48.895662,2.383069,2014-09-22 13:38:58.620
17303,67118,Entire home/apt,,Porte-Saint-Martin,192,4.5,5,0.0,100.0,1,48.871853,2.358475,2014-09-22 15:56:25.335
17347,67353,Entire home/apt,,Porte-Saint-Martin,13,4.5,4,1.0,159.0,4,48.869643,2.356771,2014-09-22 20:51:00.473
17372,55023,Private room,,Rochechouart,40,4.5,1,1.0,78.0,2,48.878455,2.341242,2014-09-22 23:44:23.809
17592,68136,Entire home/apt,,Porte-Saint-Martin,58,5.0,4,1.0,156.0,3,48.870654,2.367607,2014-09-22 19:45:38.213
17719,58653,Private room,,Madeleine,16,4.5,2,1.0,204.0,3,48.872664,2.313348,2014-09-22 04:28:31.273
17918,20633,Entire home/apt,,Saint-Georges,2,4.0,5,2.0,188.0,2,48.882817,2.332724,2014-09-23 02:52:21.219
17919,20633,Private room,,Saint-Georges,27,4.5,2,1.0,87.0,1,48.883266,2.332924,2014-09-23 02:57:08.242
17994,69389,Entire home/apt,,Halles,84,4.5,2,1.0,361.0,3,48.86093,2.342542,2014-09-22 06:30:21.074
18965,72582,Entire home/apt,,Sorbonne,78,4.5,4,1.0,219.0,1,48.851526,2.345969,2014-09-22 00:46:30.652
18993,72633,Entire home/apt,,Clignancourt,14,4.5,2,1.0,77.0,2,48.890007,2.34584,2014-09-22 03:48:15.387
19029,72713,Entire home/apt,,Saint-Georges,36,4.5,2,0.0,130.0,5,48.883084,2.332827,2014-09-22 07:43:28.950
19150,71496,Entire home/apt,,Goutte-dOr,2,4.5,3,1.0,145.0,3,48.885646,2.359059,2014-09-22 22:13:11.132
19243,55772,Entire home/apt,,Archives,28,5.0,1,1.0,142.0,7,48.857007,2.364703,2014-09-22 03:09:35.668
19260,73423,Entire home/apt,,St-Germain-lAuxerrois,59,4.5,4,1.0,196.0,2,48.857637,2.345552,2014-09-22 05:02:46.252
19857,63828,Entire home/apt,,Saint-Gervais,10,5.0,2,1.0,80.0,4,48.858025,2.35925,2014-09-22 15:07:32.810
20176,76355,Entire home/apt,,Invalides,151,5.0,4,1.0,196.0,3,48.858502,2.314235,2014-09-22 22:25:25.565
20384,76355,Entire home/apt,,St-Germain-lAuxerrois,141,4.5,4,0.0,174.0,2,48.858282,2.341969,2014-09-22 17:05:27.231
20823,73530,Entire home/apt,,Jardin-des-Plantes,69,5.0,6,1.0,159.0,2,48.839006,2.354611,2014-09-22 07:57:01.731
21004,79843,Entire home/apt,,Bel-Air,54,5.0,5,2.0,268.0,2,48.840001,2.400672,2014-09-21 23:51:18.133
21167,80630,Private room,,Grandes-Carrières,23,4.5,2,1.0,87.0,2,48.893799,2.335836,2014-09-22 18:52:29.898
21194,73530,Entire home/apt,,Jardin-des-Plantes,57,4.5,4,2.0,142.0,2,48.838061,2.354173,2014-09-22 21:44:56.579
21264,81070,Entire home/apt,,Sainte-Marguerite,14,5.0,5,3.0,123.0,5,48.851399,2.391894,2014-09-22 00:16:11.055
21282,81178,Entire home/apt,,Goutte-dOr,18,4.0,4,2.0,100.0,2,48.886906,2.354826,2014-09-22 02:09:09.435
21314,81352,Entire home/apt,,Porte-Saint-Denis,99,4.5,2,1.0,100.0,5,48.872752,2.352513,2014-09-22 05:39:42.415
21388,81728,Entire home/apt,,Porte-Saint-Denis,5,4.0,6,2.0,217.0,3,48.87425,2.356304,2014-09-22 14:20:07.096
21419,81840,Entire home/apt,,Bonne-Nouvelle,32,4.5,3,1.0,130.0,6,48.86631,2.350327,2014-09-22 18:24:00.135
21421,81848,Entire home/apt,,Grandes-Carrières,208,4.5,4,1.0,123.0,1,48.887995,2.335802,2014-09-22 18:38:18.761
21567,82394,Entire home/apt,,St-Germain-lAuxerrois,35,4.5,4,1.0,226.0,1,48.85959,2.332705,2014-09-22 05:21:49.550
21860,165470,Entire home/apt,,Bonne-Nouvelle,98,4.5,2,1.0,93.0,4,48.864872,2.349333,2014-09-22 09:24:11.287
21940,81740,Entire home/apt,,Clignancourt,12,4.5,2,1.0,130.0,1,48.888758,2.345248,2014-09-22 19:21:55.900
22046,84413,Entire home/apt,,Saint-Thomas-dAquin,4,5.0,4,3.0,500.0,4,48.856393,2.323923,2014-09-22 01:43:28.394
22321,59987,Entire home/apt,,Halles,190,4.5,4,1.0,181.0,2,48.858788,2.3483,2014-09-22 03:48:40.056
22363,85818,Entire home/apt,,Saint-Ambroise,27,4.5,2,1.0,139.0,3,48.862691,2.373445,2014-09-22 08:20:30.348
22528,86702,Entire home/apt,,Belleville,0,,4,2.0,145.0,3,48.874056,2.394918,2014-09-21 21:55:29.520
22932,88729,Private room,,Petit-Montrouge,10,4.5,2,1.0,65.0,1,48.821297,2.324106,2014-09-22 15:32:38.485
22979,89023,Private room,,Notre-Dame,136,5.0,2,1.0,94.0,3,48.853472,2.350728,2014-09-22 20:51:40.538
23103,31374,Entire home/apt,,Notre-Dame-des-Champs,1,4.0,2,1.0,136.0,2,48.845328,2.33019,2014-09-22 05:22:09.176
23107,89808,Entire home/apt,,Sainte-Marguerite,15,5.0,5,3.0,174.0,6,48.852378,2.387027,2014-09-22 05:45:44.935
23198,90446,Entire home/apt,,Muette,4,5.0,4,1.0,333.0,4,48.864034,2.273983,2014-09-22 16:48:18.960
23441,91706,Entire home/apt,,Grandes-Carrières,36,5.0,2,1.0,101.0,2,48.884506,2.33439,2014-09-22 15:07:55.818
